Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Credit rationing in small firm-bank relationships,"Kirschenmann, Karolin",,,,JOURNAL OF FINANCIAL INTERMEDIATION,APR 2016,2016,26,,,,,68,99,,10.1016/j.jfi.2015.11.001,,,22,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,6,2,2
The Costs of Political Influence: Firm-Level Evidence From Developing Countries,"Desai, Raj M.; Olofsgard, Anders",,,,QUARTERLY JOURNAL OF POLITICAL SCIENCE,2011,2011,6,2,,,,137,178,,10.1561/100.00010094,,,22,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,2,4,3,3
Women's access to credit: Does it matter for household efficiency?,"Fletschner, Diana",,,,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,AUG 2008,2008,90,3,,,,669,683,,10.1111/j.1467-8276.2008.01143.x,,,22,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,4,0,0,4,2,3,0
Political connections and preferential lending at local level: Some evidence from the Italian credit market,"Infante, L.; Piazza, M.",,,,JOURNAL OF CORPORATE FINANCE,DEC 2014,2014,29,,,,,246,262,,10.1016/j.jcorpfin.2014.06.003,,,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,11,3
"Mobile Telephony, Financial Inclusion and Inclusive Growth","Abor, Joshua Yindenaba; Amidu, Mohammed; Issahaku, Haruna",,,,JOURNAL OF AFRICAN BUSINESS,2018,2018,19,3,,,SI,430,453,,10.1080/15228916.2017.1419332,,,20,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,2
Financing the growth of SMEs in Africa: What are the contraints to SME financing within ECOWAS?,"Quartey, Peter; Turkson, Ebo; Abor, Joshua Y.; Iddrisu, Abdul Malik",,,,REVIEW OF DEVELOPMENT FINANCE,JUN 2017,2017,7,1,,,,18,28,,10.1016/j.rdf.2017.03.001,,,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4
Singapore Inc. versus the private sector: Are government-linked companies different?,"Ramirez, CD; Tan, LH",,,,IMF STAFF PAPERS,2004,2004,51,3,,,,510,528,,,,,20,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,3,1,2,1,2,1,3,0
Are poor able to access the informal credit market? Evidence from rural households in China,"Yuan, Yan; Xu, Lihe",,,,CHINA ECONOMIC REVIEW,APR 2015,2015,33,,,,,232,246,,10.1016/j.chieco.2015.01.003,,,19,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,11,0
A conceptual framework for identifying financing preferences of SMEs,"Kumar, Satish; Rao, Purnima",,,,SMALL ENTERPRISE RESEARCH,2015,2015,22,1,,,,99,112,,10.1080/13215906.2015.1036504,,,19,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,4
How do banks assess entrepreneurial competence? The role of voluntary information disclosure,"Moro, Andrea; Fink, Matthias; Kautonen, Teemu",,,,INTERNATIONAL SMALL BUSINESS JOURNAL,AUG 2014,2014,32,5,,,,525,544,,10.1177/0266242612458444,,,19,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,4,6,1
Financial constraints of ethnic entrepreneurship: evidence from Germany,"Bruder, Jana; Neuberger, Doris; Rathke-Doppner, Solvig",,,,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,2011,2011,17,3,,,,296,+,,10.1108/13552551111130727,,,19,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,1,5,5,1
Household sectoral choice and effective demand for rural credit in India,"Pal, S",,,,APPLIED ECONOMICS,SEP 2002,2002,34,14,,,,1743,1755,,10.1080/00036840210121228,,,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,2,1,2,1,1,1,0,4,0
Mobile financial services and financial inclusion: Is it a boon for savings mobilization?,"Ouma, Shem Alfred; Odongo, Teresa Maureen; Were, Maureen",,,,REVIEW OF DEVELOPMENT FINANCE,JUN 2017,2017,7,1,,,,29,35,,10.1016/j.rdf.2017.01.001,,,18,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,4
Contingent value of political capital in bank loan acquisition: Evidence from founder-controlled private enterprises in China,"Zhao, Hongxin; Lu, Jiangyong",,,,JOURNAL OF BUSINESS VENTURING,MAR 2016,2016,31,2,,,,153,174,,10.1016/j.jbusvent.2015.12.002,,,18,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0
Political Connections and Leverage: Firm-level Evidence from Pakistan,"Saeed, Abubakr; Belghitar, Yacine; Clark, Ephraim",,,,MANAGERIAL AND DECISION ECONOMICS,SEP 2015,2015,36,6,,,,364,383,,10.1002/mde.2674,,,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,7,3
Inclusive Economic Development Programs and Consumers' Access to Credit in Emerging Market Economies: The Public Policy Role of Marketing in Rural Bank Programs in Ghana,"Dadzie, Kofi Q.; Dadzie, Charlene A.; Winston, Evelyn M.; Blankson, Charles",,,,JOURNAL OF PUBLIC POLICY & MARKETING,2013,2013,32,,,,SI,59,69,,10.1509/jppm.12.052,,,18,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,3,5,4
Financial exclusion in Latin America - or the social costs of not banking the urban poor,"Solo, Tova Maria",,,,ENVIRONMENT AND URBANIZATION,APR 2008,2008,20,1,,,,47,66,,10.1177/0956247808089148,,,18,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,4,1,1,2,3,0
"Awareness and adoption of land, soil and water conservation practices in the Chinyanja Triangle, Southern Africa","Mango, Nelson; Makate, Clifton; Tamene, Lulseged; Mponela, Powell; Ndengu, Gift",,,,INTERNATIONAL SOIL AND WATER CONSERVATION RESEARCH,JUN 2017,2017,5,2,,,,122,129,,10.1016/j.iswcr.2017.04.003,,,17,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,3
On the determinants of credit rationing: Firm-level evidence from transition countries,"Drakos, Konstantinos; Giannakopoulos, Nicholas",,,,JOURNAL OF INTERNATIONAL MONEY AND FINANCE,DEC 2011,2011,30,8,,,,1773,1790,,10.1016/j.jimonfin.2011.09.004,,,17,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,2,3,1
SME financing in Europe: Cross-country determinants of bank loan maturity,"Hernandez-Canovas, Gines; Koeter-Kant, Johanna",,,,INTERNATIONAL SMALL BUSINESS JOURNAL,OCT 2011,2011,29,5,,,,489,507,,10.1177/0266242611402569,,,17,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,3,1,5,1
Impact of Access to Credit on Labor Allocation Patterns in Malawi,"Swaminathan, Hema; Du Bois, Rodrigo Salcedo; Findeis, Jill L.",,,,WORLD DEVELOPMENT,APR 2010,2010,38,4,,,,555,566,,10.1016/j.worlddev.2009.11.002,,,17,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,3,5,1
"THE SHORT-TERM POVERTY IMPACT OF SMALL-SCALE, COLLATERAL-FREE MICROCREDIT IN INDONESIA: A MATCHING ESTIMATOR APPROACH","Takahashi, Kazushi; Higashikata, Takayuki; Tsukada, Kazunari",,,,DEVELOPING ECONOMIES,MAR 2010,2010,48,1,,,SI,128,155,,10.1111/j.1746-1049.2010.00101.x,,,17,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,4,0,5,1
Do equally owned small businesses have equal access to credit?,"Kim, Grace O.",,,,SMALL BUSINESS ECONOMICS,DEC 2006,2006,27,4-5,,,,369,386,,10.1007/s11187-005-2558-7,,,17,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3,3,3,2,0
DISCRIMINATION AGAINST WOMEN IN FORMAL CREDIT MARKETS - REALITY OR RHETORIC,"BAYDAS, MM; MEYER, RL; AGUILERAALFRED, N",,,,WORLD DEVELOPMENT,JUL 1994,1994,22,7,,,,1073,1082,,10.1016/0305-750X(94)90149-X,,,17,0.63,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,2,0,0,1,3,3,0
WHAT DO WE KNOW ABOUT RACIAL-DISCRIMINATION IN MORTGAGE MARKETS,"CLOUD, C; GALSTER, G",,,,REVIEW OF BLACK POLITICAL ECONOMY,SUM 1993,1993,22,1,,,,101,120,,10.1007/BF02689922,,,17,0.61,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,2,0,0,1,0,2,1,0,1,0,0,1,0,0,0,2,0,0,0,0,1
What Constrains Financial Inclusion for Women? Evidence from Indian Micro data,"Ghosh, Saibal; Vinod, D.",,,,WORLD DEVELOPMENT,APR 2017,2017,92,,,,,60,81,,10.1016/j.worlddev.2016.11.011,,,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,2
Can Informal Firms Hurt Registered SMEs' Access to Credit?,"Distinguin, Isabelle; Rugemintwari, Clovis; Tacneng, Ruth",,,,WORLD DEVELOPMENT,AUG 2016,2016,84,,,,,18,40,,10.1016/j.worlddev.2016.04.006,,,16,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,6
"Do strong corporate governance firms still require political connection, and vice versa?","Shen, Chung-Hua; Lin, Chih-Yung; Wang, Yu-Chun",,,,INTERNATIONAL REVIEW OF ECONOMICS & FINANCE,SEP 2015,2015,39,,,,,107,120,,10.1016/j.iref.2015.06.006,,,16,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,2
Firms' Financing Constraints: Do Perceptions Match the Actual Situation?,"Ferrando, Annalisa; Mulier, Klaas",,,,ECONOMIC AND SOCIAL REVIEW,SPR 2015,2015,46,1,,,,87,117,,,Conference on Financing SMEs in Economic Recovery,"SEP 26, 2014",16,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,2
Management quality and the cost of debt: Does management matter to lenders?,"Rahaman, Mohammad M.; Al Zaman, Ashraf",,,,JOURNAL OF BANKING & FINANCE,MAR 2013,2013,37,3,,,,854,874,,10.1016/j.jbankfin.2012.10.011,,,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,7,3,1
Constraints in Access to and Demand for Rural Credit: Evidence from Uganda,"Mpuga, Paul",,,,AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,MAR 2010,2010,22,1,,,,115,148,,10.1111/j.1467-8268.2009.00230.x,,,16,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,3,2,3,0
"FACTORS AFFECTING SMALL FARMERS ACCESS TO INSTITUTIONAL CREDIT IN RURAL ORISSA, INDIA","SARAP, K",,,,DEVELOPMENT AND CHANGE,APR 1990,1990,21,2,,,,281,307,,10.1111/j.1467-7660.1990.tb00378.x,,,16,0.52,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,1,1,2,0
Political Connections and Bank Lines of Credit,"Luo, Danglun; Ying, Qianwei",,,,EMERGING MARKETS FINANCE AND TRADE,MAY-JUN 2014,2014,50,,,3,,5,21,,10.2753/REE1540-496X5003S301,,,15,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,3,3
The Myth of Female Credit Discrimination in African Manufacturing,"Hansen, Henrik; Rand, John",,,,JOURNAL OF DEVELOPMENT STUDIES,JAN 2 2014,2014,50,1,,,,81,96,,10.1080/00220388.2013.849337,,,15,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,6,2,1
Bank-Firm Relationships: Do Perceptions Vary by Gender?,"Saparito, Patrick; Elam, Amanda; Brush, Candida",,,,ENTREPRENEURSHIP THEORY AND PRACTICE,JUL 2013,2013,37,4,,,,837,858,,10.1111/j.1540-6520.2012.00524.x,,,15,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,1,4,1
"Financial Inclusion, Bank Concentration, and Firm Performance","Chauvet, Lisa; Jacolin, Luc",,,,WORLD DEVELOPMENT,SEP 2017,2017,97,,,,,1,13,,10.1016/j.worlddev.2017.03.018,,,14,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4
The moderating influence of financial literacy on the relationship between access to finance and firm growth in Ghana,"Adomako, Samuel; Danso, Albert; Damoah, John Ofori",,,,VENTURE CAPITAL,2016,2016,18,1,,,,43,61,,10.1080/13691066.2015.1079952,,,14,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,2
The Impact of Credit Constraints on Farm Households: Survey Results from India and China,"Kumar, Chandra S.; Turvey, Calum G.; Kropp, Jaclyn D.",,,,APPLIED ECONOMIC PERSPECTIVES AND POLICY,SEP 2013,2013,35,3,,,,508,527,,10.1093/aepp/ppt002,,,14,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,3,3
Socio-economic determinants of keeping goats and sheep by rural people in southern Benin,"Dossa, Luc Hippolyte; Rischkowsky, Barbara; Birner, Regina; Wollny, Clemens",,,,AGRICULTURE AND HUMAN VALUES,DEC 2008,2008,25,4,,,,581,592,,10.1007/s10460-008-9138-9,,,14,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0,4,1,1,1
"Lending policies of informal, formal and semiformal lenders - Evidence from Vietnam","Pham, Thi Thu Tra; Lensink, Robert",,,,ECONOMICS OF TRANSITION,2007,2007,15,2,,,,181,209,,10.1111/j.1468-0351.2007.00283.x,,,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,2,3,2,0
Firm size dependence in the determinants of bank term loan maturity,"Dennis, SA; Sharpe, IG",,,,JOURNAL OF BUSINESS FINANCE & ACCOUNTING,JAN-MAR 2005,2005,32,1-2,,,,31,64,,10.1111/j.0306-686X.2005.00587.x,,,14,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,0,1,0,0,1,2,2,1
Credit constraints and the labour supply of immigrant families in Canada,"Worswick, C",,,,CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,FEB 1999,1999,32,1,,,,152,170,,10.2307/136400,,,14,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,0,1,0,1,1,2,1,1,0,1,0
"When your word is not enough: Race, collateral, and household credit","Olney, ML",,,,JOURNAL OF ECONOMIC HISTORY,JUN 1998,1998,58,2,,,,408,431,,10.1017/S0022050700020568,,,14,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,1,1,0,3,0,0,0,2,0,0,1,0,0,1,0
Political connections of the board of directors and credit financing: evidence from Chinese private enterprises,"Peng, Hongfeng; Zhang, Xiao; Zhu, Xiaoquan",,,,ACCOUNTING AND FINANCE,DEC 2017,2017,57,5,,,,1481,1516,,10.1111/acfi.12331,,,13,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1
Account ownership and use of financial services among individuals Evidence from selected Sub-Saharan African economies,"Wale, Letenah Ejigu; Makina, Daniel",,,,AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT STUDIES,2017,2017,8,1,,,SI,19,35,,10.1108/AJEMS-03-2017-146,,,13,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,3
Do women borrowers augment financial performance of MFIs?,"Abdullah, Shahnaz; Quayes, Shakil",,,,APPLIED ECONOMICS,DEC 2016,2016,48,57,,,,5593,5604,,10.1080/00036846.2016.1181831,,,13,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,1
External finance and trade credit extension in China: does political affiliation make a difference?,"Guariglia, Alessandra; Mateut, Simona",,,,EUROPEAN JOURNAL OF FINANCE,MAR-APR 2016,2016,22,4-6,,,SI,319,344,,10.1080/1351847X.2012.762030,,,13,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,5,2
Discrimination in the Credit Market? Access to Financial Capital among Self-employed Immigrants,"Alden, Lina; Hammarstedt, Mats",,,,KYKLOS,FEB 2016,2016,69,1,,,,3,31,,10.1111/kykl.12101,,,13,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,2
Credit constraints and investment in human capital: Training evidence from transition economies,"Popov, Alexander",,,,JOURNAL OF FINANCIAL INTERMEDIATION,JAN 2014,2014,23,1,,,,76,100,,10.1016/j.jfi.2013.11.003,,,13,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,4,2
"Ending Discrimination, Legitimating Debt: The Political Economy of Race, Gender, and Credit Access in the 1960s and 1970s","Hyman, Louis",,,,ENTERPRISE & SOCIETY,MAR 2011,2011,12,1,,,,200,232,,10.1093/es/khq149,,,13,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,2,3,0
Econometric analysis of credit constraints of chinese rural households and welfare loss,"Rui, Li; Xi, Zhu",,,,APPLIED ECONOMICS,2010,2010,42,13,,,,1615,1625,PII 789118469,10.1080/00036840701721604,,,13,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,2,0,3,0
Discrimination in lending: Theory and evidence,"Han, S",,,,JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,JUL 2004,2004,29,1,,,,5,46,,10.1023/B:REAL.0000027199.22889.65,,,13,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,3,1,0,1,0,1,1,1,1
Does credit access affect household income homogeneously across different groups of credit recipients? Evidence from rural Vietnam,"Do Xuan Luan; Bauer, Siegfried",,,,JOURNAL OF RURAL STUDIES,OCT 2016,2016,47,,A,,,186,203,,10.1016/j.jrurstud.2016.08.001,,,12,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
The geography of financial inclusion across Europe during the global crisis,"Corrado, Germana; Corrado, Luisa",,,,JOURNAL OF ECONOMIC GEOGRAPHY,SEP 2015,2015,15,5,,,SI,1055,1083,,10.1093/jeg/lbu054,,,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,2
Political connections and land-related investment in rural Vietnam,"Markussen, Thomas; Tarp, Finn",,,,JOURNAL OF DEVELOPMENT ECONOMICS,SEP 2014,2014,110,,,,SI,291,302,,10.1016/j.jdeveco.2014.01.011,,,12,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,5,1
How Access to Credit Affects Self-employment: Differences by Gender during India's Rural Banking Reform,"Menon, Nidhiya; Rodgers, Yana van der Meulen",,,,JOURNAL OF DEVELOPMENT STUDIES,JAN 2011,2011,47,1,,,SI,48,69,,10.1080/00220381003706486,,,12,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,1,0,2,3,0
Does a manager's gender matter when accessing credit? Evidence from European data,"Moro, Andrea; Wisniewski, Tomasz Piotr; Mantovani, Guido Massimiliano",,,,JOURNAL OF BANKING & FINANCE,JUL 2017,2017,80,,,,,119,134,,10.1016/j.jbankfin.2017.04.009,,,11,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3
Political Connections and Government Subsidies: Evidence from Financially Distressed Firms in China,"Tao, Qizhi; Sun, Yicheng; Zhu, Yingjun; Yang, Xiaolin",,,,EMERGING MARKETS FINANCE AND TRADE,2017,2017,53,8,,,,1854,1868,,10.1080/1540496X.2017.1332592,,,11,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1
"Farm credit access, credit constraint and productivity in Ghana Empirical evidence from Northern Savannah ecological zone","Sekyi, Samuel; Abu, Benjamin Musah; Nkegbe, Paul Kwame",,,,AGRICULTURAL FINANCE REVIEW,2017,2017,77,4,,,,446,462,,10.1108/AFR-10-2016-0078,,,11,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
"Financial inclusion: measurement, spatial effects and influencing factors","Wang, Xiuhua; Guan, Jian",,,,APPLIED ECONOMICS,2017,2017,49,18,,,,1751,1762,,10.1080/00036846.2016.1226488,,,11,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1
Gender Bias and Credit Access,"Ongena, Steven; Popov, Alexander",,,,JOURNAL OF MONEY CREDIT AND BANKING,DEC 2016,2016,48,8,,,,1691,1724,,10.1111/jmcb.12361,,,11,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1
Social Trust and Bank Loan Financing: Evidence from China,"Chen, Deqiu; Liu, Xuejiao; Wang, Cong",,,,ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,SEP 2016,2016,52,3,,,SI,374,403,,10.1111/abac.12080,,,11,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,1
Does gender matter for firms' access to credit? Evidence from international data,"Aristei, David; Gallo, Manuela",,,,FINANCE RESEARCH LETTERS,AUG 2016,2016,18,,,,,67,75,,10.1016/j.frl.2016.04.002,,,11,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,2
Managerial professional connections versus political connections: Evidence from firms' access to informal financing resources,"Liu, Qigui; Luo, Jinbo; Tian, Gary Gang",,,,JOURNAL OF CORPORATE FINANCE,DEC 2016,2016,41,,,,,179,200,,10.1016/j.jcorpfin.2016.09.003,,,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2
Making the most of group relationships: The role of gender and boundary effects in microcredit groups,"Milanov, Hana; Justo, Rachida; Bradley, Steven W.",,,,JOURNAL OF BUSINESS VENTURING,NOV 2015,2015,30,6,,,,822,838,,10.1016/j.jbusvent.2015.04.001,,,10,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,0
Founding Family Firms and Bank Loan Contracts,"Yen, Ju-Fang; Lin, Chih-Yung; Chen, Yan-Shing; Huang, Ying-Chen",,,,JOURNAL OF FINANCIAL SERVICES RESEARCH,AUG 2015,2015,48,1,,,,53,82,,10.1007/s10693-014-0199-1,,,10,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,4,0
Small Firms' Credit Access in the Euro Area: Does Gender Matter?,"Stefani, Maria Lucia; Vacca, Valerio",,,,CESIFO ECONOMIC STUDIES,MAR 2015,2015,61,1,,,,165,201,,10.1093/cesifo/ifu031,,,10,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,1
Estimates of gender differences in firm's access to credit in Sub-Saharan Africa,"Hansen, Henrik; Rand, John",,,,ECONOMICS LETTERS,JUN 2014,2014,123,3,,,,374,377,,10.1016/j.econlet.2014.04.001,,,10,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1
Gender discrimination in online peer-to-peer credit lending: evidence from a lending platform in China,"Chen, Dongyu; Li, Xiaolin; Lai, Fujun",,,,ELECTRONIC COMMERCE RESEARCH,DEC 2017,2017,17,4,,,,553,583,,10.1007/s10660-016-9247-2,,,9,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2
